,Week_Data_Collected,State,Zip,Hosptial_Name,City,Total_Beds_Available,Total_Covid_Patients,Total_Beds_in_Use,Percent Covid Patients,Percent Capacity Full,Latitude,Longitude
52,11/20/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,152.9,8.7,149.4,0.06,0.98,37.799727000000004,-122.21211000000001
53,11/13/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,148.7,6.6,145.9,0.04,0.98,37.799727000000004,-122.21211000000001
54,11/6/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,146.6,-999999.0,144.4,-6821.28,0.98,37.799727000000004,-122.21211000000001
55,10/30/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,155.1,7.1,153.0,0.05,0.99,37.799727000000004,-122.21211000000001
56,10/23/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,161.7,6.4,159.9,0.04,0.99,37.799727000000004,-122.21211000000001
57,10/16/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,162.7,4.7,160.9,0.03,0.99,37.799727000000004,-122.21211000000001
58,10/9/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,163.1,6.9,161.3,0.04,0.99,37.799727000000004,-122.21211000000001
59,10/2/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,177.4,6.6,175.9,0.04,0.99,37.799727000000004,-122.21211000000001
60,9/25/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,188.2,17.5,185.8,0.09,0.99,37.799727000000004,-122.21211000000001
61,9/18/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,194.9,20.7,191.6,0.11,0.98,37.799727000000004,-122.21211000000001
62,9/11/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,181.6,17.6,176.3,0.1,0.97,37.799727000000004,-122.21211000000001
63,9/4/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,205.9,22.1,200.9,0.11,0.98,37.799727000000004,-122.21211000000001
64,8/28/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,190.7,21.7,186.7,0.11,0.98,37.799727000000004,-122.21211000000001
65,8/21/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,208.3,34.9,205.9,0.17,0.99,37.799727000000004,-122.21211000000001
66,8/14/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,225.0,39.3,221.9,0.17,0.99,37.799727000000004,-122.21211000000001
67,8/7/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,198.1,30.4,195.1,0.15,0.98,37.799727000000004,-122.21211000000001
68,7/31/2020,CA,94602.0,HIGHLAND HOSPITAL,OAKLAND,202.7,32.1,197.3,0.16,0.97,37.799727000000004,-122.21211000000001
69,1/1/2021,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,139.6,43.4,139.1,0.31,1.0,37.702063,-122.07933999999999
70,12/25/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,130.6,43.3,130.6,0.33,1.0,37.702063,-122.07933999999999
71,12/18/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,129.6,34.7,129.3,0.27,1.0,37.702063,-122.07933999999999
72,12/11/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,120.7,32.6,120.7,0.27,1.0,37.702063,-122.07933999999999
73,12/4/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,122.6,21.4,122.0,0.17,1.0,37.702063,-122.07933999999999
74,11/27/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,121.0,15.7,120.4,0.13,1.0,37.702063,-122.07933999999999
75,11/20/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,109.7,11.1,109.6,0.1,1.0,37.702063,-122.07933999999999
76,11/13/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,119.4,6.4,118.9,0.05,1.0,37.702063,-122.07933999999999
77,11/6/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,109.3,6.4,108.6,0.06,0.99,37.702063,-122.07933999999999
78,10/30/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,104.1,-999999.0,103.9,-9606.14,1.0,37.702063,-122.07933999999999
79,10/23/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,88.3,-999999.0,88.3,-11325.02,1.0,37.702063,-122.07933999999999
80,10/16/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,90.1,-999999.0,90.0,-11098.77,1.0,37.702063,-122.07933999999999
81,10/9/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,103.1,-999999.0,103.1,-9699.31,1.0,37.702063,-122.07933999999999
82,10/2/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,93.7,-999999.0,93.7,-10672.35,1.0,37.702063,-122.07933999999999
83,9/25/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,102.7,6.7,102.6,0.07,1.0,37.702063,-122.07933999999999
84,9/18/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,108.7,8.3,108.4,0.08,1.0,37.702063,-122.07933999999999
85,9/11/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,108.3,12.1,108.1,0.11,1.0,37.702063,-122.07933999999999
86,9/4/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,128.7,19.0,128.7,0.15,1.0,37.702063,-122.07933999999999
87,8/28/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,118.3,19.6,118.1,0.17,1.0,37.702063,-122.07933999999999
88,8/21/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,114.3,14.3,114.1,0.13,1.0,37.702063,-122.07933999999999
89,8/14/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,117.5,13.0,117.5,0.11,1.0,37.702063,-122.07933999999999
90,8/7/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,118.6,12.7,118.2,0.11,1.0,37.702063,-122.07933999999999
91,7/31/2020,CA,94546.0,EDEN MEDICAL CENTER,CASTRO VALLEY,117.0,12.7,116.8,0.11,1.0,37.702063,-122.07933999999999
92,1/1/2021,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,56.6,22.9,56.6,0.4,1.0,37.635582,-122.10418
93,12/25/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,59.1,26.3,59.1,0.45,1.0,37.635582,-122.10418
94,12/18/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,62.6,29.9,62.6,0.48,1.0,37.635582,-122.10418
95,12/11/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,60.7,20.6,60.7,0.34,1.0,37.635582,-122.10418
96,12/4/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,63.4,17.0,63.4,0.27,1.0,37.635582,-122.10418
97,11/27/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,55.6,13.3,55.6,0.24,1.0,37.635582,-122.10418
98,11/20/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,46.4,8.3,46.4,0.18,1.0,37.635582,-122.10418
99,11/13/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,45.1,6.1,45.1,0.14,1.0,37.635582,-122.10418
100,11/6/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,43.7,8.3,43.7,0.19,1.0,37.635582,-122.10418
101,10/30/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,44.1,6.1,44.1,0.14,1.0,37.635582,-122.10418
102,10/23/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,50.0,4.9,50.0,0.1,1.0,37.635582,-122.10418
103,10/16/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,55.9,-999999.0,55.9,-17889.07,1.0,37.635582,-122.10418
104,10/9/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,48.9,-999999.0,48.9,-20449.88,1.0,37.635582,-122.10418
105,10/2/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,52.9,4.3,52.9,0.08,1.0,37.635582,-122.10418
106,9/25/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,56.3,5.6,56.3,0.1,1.0,37.635582,-122.10418
107,9/18/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,51.6,6.0,51.6,0.12,1.0,37.635582,-122.10418
108,9/11/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,46.4,5.6,46.4,0.12,1.0,37.635582,-122.10418
109,9/4/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,39.7,7.4,39.7,0.19,1.0,37.635582,-122.10418
110,8/28/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,38.7,4.9,38.7,0.13,1.0,37.635582,-122.10418
111,8/21/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,37.9,4.9,37.9,0.13,1.0,37.635582,-122.10418
112,8/14/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,41.3,5.3,41.3,0.13,1.0,37.635582,-122.10418
113,8/7/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,39.0,5.9,39.0,0.15,1.0,37.635582,-122.10418
114,7/31/2020,CA,94545.0,ST ROSE HOSPITAL,HAYWARD,32.3,6.9,32.3,0.21,1.0,37.635582,-122.10418
115,1/1/2021,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,81.7,27.0,81.7,0.33,1.0,37.527237,-121.9679
116,1/1/2021,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,192.2,56.6,186.6,0.29,0.97,37.527237,-121.9679
117,12/25/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,85.6,33.7,85.6,0.39,1.0,37.527237,-121.9679
118,12/25/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,198.3,60.9,194.1,0.31,0.98,37.527237,-121.9679
119,12/18/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,181.3,51.1,179.9,0.28,0.99,37.527237,-121.9679
120,12/18/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,74.1,30.9,74.1,0.42,1.0,37.527237,-121.9679
121,12/11/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,176.6,39.0,175.0,0.22,0.99,37.527237,-121.9679
122,12/11/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,80.7,25.4,80.7,0.31,1.0,37.527237,-121.9679
123,12/4/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,89.7,22.1,89.7,0.25,1.0,37.527237,-121.9679
124,12/4/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,164.4,27.6,162.6,0.17,0.99,37.527237,-121.9679
125,11/27/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,72.9,18.6,72.9,0.26,1.0,37.527237,-121.9679
126,11/27/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,145.7,16.9,143.7,0.12,0.99,37.527237,-121.9679
127,11/20/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,76.3,14.9,76.3,0.2,1.0,37.527237,-121.9679
128,11/20/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,165.9,14.9,162.6,0.09,0.98,37.527237,-121.9679
129,11/13/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,199.3,7.4,197.0,0.04,0.99,37.527237,-121.9679
130,11/13/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,68.3,7.9,68.3,0.12,1.0,37.527237,-121.9679
131,11/6/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,153.0,6.9,152.0,0.05,0.99,37.527237,-121.9679
132,11/6/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,66.9,8.9,66.9,0.13,1.0,37.527237,-121.9679
133,10/30/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,137.3,7.1,136.0,0.05,0.99,37.527237,-121.9679
134,10/30/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,66.3,7.0,66.3,0.11,1.0,37.527237,-121.9679
135,10/23/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,64.0,5.1,64.0,0.08,1.0,37.527237,-121.9679
136,10/23/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,136.9,10.3,136.9,0.08,1.0,37.527237,-121.9679
137,10/16/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,67.4,4.3,67.4,0.06,1.0,37.527237,-121.9679
138,10/16/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,145.8,10.7,145.5,0.07,1.0,37.527237,-121.9679
139,10/9/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,149.2,11.6,149.2,0.08,1.0,37.527237,-121.9679
140,10/9/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,70.1,4.6,70.1,0.07,1.0,37.527237,-121.9679
141,10/2/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,64.0,-999999.0,64.0,-15624.98,1.0,37.527237,-121.9679
142,10/2/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,152.0,12.8,152.0,0.08,1.0,37.527237,-121.9679
143,9/25/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,65.9,4.0,65.9,0.06,1.0,37.527237,-121.9679
144,9/25/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,140.7,7.3,140.7,0.05,1.0,37.527237,-121.9679
145,9/18/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,71.3,-999999.0,71.3,-14025.23,1.0,37.527237,-121.9679
146,9/18/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,133.0,9.3,131.7,0.07,0.99,37.527237,-121.9679
147,9/11/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,148.0,12.0,148.0,0.08,1.0,37.527237,-121.9679
148,9/11/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,77.1,5.4,77.1,0.07,1.0,37.527237,-121.9679
149,9/4/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,154.8,17.6,154.4,0.11,1.0,37.527237,-121.9679
150,9/4/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,64.1,4.3,64.1,0.07,1.0,37.527237,-121.9679
151,8/28/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,175.5,24.3,175.0,0.14,1.0,37.527237,-121.9679
152,8/28/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,71.4,10.0,71.4,0.14,1.0,37.527237,-121.9679
153,8/21/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,81.1,12.6,81.1,0.16,1.0,37.527237,-121.9679
154,8/21/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,171.5,25.2,171.3,0.15,1.0,37.527237,-121.9679
155,8/14/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,72.6,10.0,72.6,0.14,1.0,37.527237,-121.9679
156,8/14/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,170.8,27.3,170.0,0.16,1.0,37.527237,-121.9679
157,8/7/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,152.7,26.7,152.7,0.17,1.0,37.527237,-121.9679
158,8/7/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,65.5,5.1,65.5,0.08,1.0,37.527237,-121.9679
159,7/31/2020,CA,94538.0,WASHINGTON HOSPITAL,FREMONT,171.5,31.3,171.2,0.18,1.0,37.527237,-121.9679
160,7/31/2020,CA,94538.0,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,69.0,6.2,69.0,0.09,1.0,37.527237,-121.9679
161,1/1/2021,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,43.3,18.3,43.3,0.42,1.0,37.769528,-122.25936999999999
162,12/25/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,39.7,17.4,39.7,0.44,1.0,37.769528,-122.25936999999999
163,12/18/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,36.7,9.6,36.7,0.26,1.0,37.769528,-122.25936999999999
164,12/11/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,37.3,5.0,37.3,0.13,1.0,37.769528,-122.25936999999999
165,12/4/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,33.3,-999999.0,33.3,-30030.0,1.0,37.769528,-122.25936999999999
166,11/27/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,29.9,-999999.0,29.9,-33444.78,1.0,37.769528,-122.25936999999999
167,11/20/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,30.9,-999999.0,30.9,-32362.43,1.0,37.769528,-122.25936999999999
168,11/13/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,33.0,-999999.0,33.0,-30303.0,1.0,37.769528,-122.25936999999999
169,11/6/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,28.0,-999999.0,28.0,-35714.25,1.0,37.769528,-122.25936999999999
170,10/30/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,25.6,-999999.0,25.6,-39062.46,1.0,37.769528,-122.25936999999999
171,10/23/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,29.3,-999999.0,29.3,-34129.66,1.0,37.769528,-122.25936999999999
172,10/16/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,24.4,-999999.0,24.4,-40983.57,1.0,37.769528,-122.25936999999999
173,10/9/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,23.0,-999999.0,23.0,-43478.22,1.0,37.769528,-122.25936999999999
174,10/2/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,21.0,0.0,21.0,0.0,1.0,37.769528,-122.25936999999999
175,9/25/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,30.7,-999999.0,30.7,-32573.26,1.0,37.769528,-122.25936999999999
176,9/18/2020,CA,94501.0,ALAMEDA HOSPITAL,ALAMEDA,31.7,-999999.0,31.7,-31545.71,1.0,37.769528,-122.25936999999999
